phase,RV_RM,transit_sorted,RV_planet,RV_star,RV_tel
0.29897067767751573,1.9845830965091538,1,210.8613598679867,0,-47.35119207516815
0.3012904632456112,1.9544765276309266,1,209.86230498740488,0,-47.35558757792777
0.3036102491807942,1.9239547339597296,1,208.81866561571485,0,-47.35992031568573
0.30593003511568767,1.8930242044530792,1,207.73066362426712,0,-47.364189110494124
0.30824982068407264,1.8616915151457876,1,206.5985303365808,0,-47.3683928111638
0.31056960661896615,1.8299633126313355,1,205.42250591173251,0,-47.37253029572978
0.3128893921873512,1.797846347452065,1,204.2028405625311,0,-47.37660046713178
0.3152091781222446,1.7653474325696474,1,202.9397930162016,0,-47.38060225866033
0.31752896369062966,1.7324734825044033,1,201.63363200072948,0,-47.38453462935256
0.3198487496255231,1.6992314707969682,1,200.28463459163805,0,-47.388396569297974
0.3221685355604166,1.6656284647329531,1,198.89308758054136,0,-47.39218709566269
0.32448832112880155,1.631671608517762,1,197.45928682541833,0,-47.39590525468245
0.32680810706369506,1.5973681054085715,1,195.98353647797018,0,-47.399550123855576
0.3291278926320801,1.5627252538727343,1,194.46615052116508,0,-47.40312080802938
0.33144767856697355,1.5277504026873974,1,192.9074508376066,0,-47.406616444533014
0.33376746450186706,1.492450987554704,1,191.3077688027372,0,-47.410036199152074
0.33608725007025203,1.4568345133340908,1,189.66744452441878,0,-47.413379268344805
0.33840703600514555,1.4209085353369766,1,187.98682596412195,0,-47.41664488085577
0.3407268215735305,1.3846806972310273,1,186.2662706928987,0,-47.4198322943235
0.34304660750842403,1.3481586840160895,1,184.50614369159496,0,-47.42294079966629
0.345366393076809,1.3113502661732208,1,182.70681944760392,0,-47.42596971751247
0.3476861790117025,1.2742632518604637,1,180.8686796510087,0,-47.42891840157252
0.35000596494688546,1.2369055258415178,1,178.99211508759376,0,-47.43178623630013
0.352325750514981,1.1992850305813842,1,177.07752473154505,0,-47.434572637929946
0.35464553645016395,1.161409746485054,1,175.12531472335408,0,-47.437277056340875
